ID,MSA,Words
880,ما هي الاستعدادات التي قاموا بها من أجل النجاح في الامتحان .,12
18648,"على فكرة ، هل أستطيع صرف هذا الشيك أيضا ؟",10
8253,"أيمكن أن تدلّني على الطريق إلى أقرب متجر لبيع الأدوية والمرطبات ، من فضلك ؟",15
13664,"نعم ، لسوء الحظ . مكتبنا الرئيسي يقع هنا . وماذا عنك ؟ هل هي أول زيارة لك هنا ؟",20
19852,"أظن أن ثمة خطأ في هذه "" الفكة "" .",10
11543,"طبعا ، لكن لا توجد غرفة مزدوجة أخرى لليلة .",10
8132,"نعم . طبقاً للنشرة الجوية الأسبوعية ، فسوف يظلّ الجو حسناً هذا الأسبوع .",14
19855,اسم العائلة ياما جوشي . ي ا م ا ج و ش ي .,14
7327,قد يكون لدينا مائدة متاحة في حوالي الساعة التاسعة .,10
17134,أتعتقد أنه من الممكن أن نضعها على الرف هناك ؟,10
6611,كم يستغرق الوقت قبل أن تتفتح البراعم إلى زهرات ؟,10
8360,أود الترحيب بكم جميعاً هنا بمناسبة الاجتماع السنوي الثالث لعام ألف وتسعمائة وواحد وتسعين .,15
3645,السيدة ذات الرداء الأحمر عبارة عن شمبانيا مكونة أساساً من كوكتيل فراولة وهو منعش جداً .,16
8553,"بالتأكيد موجودة ، يا سيدي . أتود أن تُلقي نظرة على هذه النشرة الإرشادية ؟",15
13373,هذا سيئ للغاية . يجب أن أكون في لوس أنجلوس صباح الجمعة .,13
15265,حسناً . سأخبرك ماذا تفعل . أنت لم تخبر من معك وأنا لن أخبر من معي .,17
488,هل هذا مكتب الاستقبال ؟ هل يوجد عيادة قريبة ؟,10
12082,إنه يتكون من ثلاثة شرائح من الدجاج وكذا مع البطاطس المحمصة والخضراوات المختلطة .,14
140,"لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .",17
8683,لقد كان مشغولاً جداً مؤخراً . فربما نسي ذلك الأمر .,11
12967,إنها حقيبة سامسونايت ضخمة الحجم برتقالية اللون صنعت من البلاستيك .,11
3255,إنهم لا يأكلون البيض نيئاً في الولايات المتحدة الأمريكية .,10
11737,كان يحسن بها أن تملأ استمارة الجمارك هذه وتسلمها .,10
2312,أشكرك على إيصالي لهنا بالسيارة بعد ساعات . أنا أقدر مساعدتك حقيقةً .,13
158,أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .,12
19902,"عيد الدستور أو "" كيمبو كينينبي "" عطلة قومية في الثالث من مايو للاحتفال بذكرى وضع الدستور الياباني الحالي .",20
161,إنني سأستقل الرحلة الجوية رقم اثنى عشر المتجهة إلى طوكيو .,11
10527,أنا حاصل على دراسة ماجستير في العلوم من جامعة كيوتو .,11
4434,هل لك أن تضع حقائبك علي الطاولة من فضلك ؟,10
11277,لا أريد إنفاق أكثر من ثلاثين دولاراً على القطعة الواحدة .,11
3401,حالاُ ومع صديق . لكن توجد مشكلة . ليس لي صديق حتى الآن .,14
6847,ماذا عن القمة ؟ هل انقص بعضاً من القمة ؟,10
15653,يبدوا ستونهينج ممتعاً . هل يوجد أي جولات تذهب بالقرب من هناك ؟,13
12437,أيمكنك الاتصال بفندق من نفس الدرجة للعثور على غرفة لي ؟,11
18501,هكذا لدينا واحدة جيدة لك . إنها جولة يوم العطلة الكامل .,12
18276,"إذا , السيد نيتا , هذا كل ما لدينا لنعرضه لك هنا في مصنعنا .",15
