ID,Sentence,Words
191453,"والحقيقة أنّ هؤلاء البشر قد يتمكنون أحيانا، أحيانا، أحيانا من علاج الأمراض التي استعصت علينا.",15
91511,"لكن اليوم، تأثير ذلك النجم يحدث في مختلف قطاعات الاقتصاد بأكمله.",11
30346,هل تحقق الشركات التي تأخذ الاستدامة بعين الاعتبار أرباحا مالية حقا؟,11
110155,لكننا جمعنا بيانات عن التحليق بسرعة فائقة للصوت أكثر مما فعلناه خلال 30 عاماً من الاختبارات العملية على الأرض,19
56406,هذه القوانين تحترم حقوق الانسان العالمية وهي ترتكز على الدليل.,10
86339,اعرضوهم بتعاطف وقدموا تجاربهم بعمق و معنى كأشخاص و ليسوا مجرد تشخيصات.,12
13696,مجدادا فان الموضوع يتعلق بالكلفه و المعيشه القابله للتغيير .,10
27032,وكنا نجلس في مكان بعيد قليلاً .. وكان يتحدث عن الرياضة,11
36918,"إنه حقاً نظام الهند التعليمي القائم على القواعد المسؤول عن قتل كل الابتكار.""",13
139901,واعتقد ان تلك الطريقة للمضي قدما هي في البداية تقوم بعزل مجموعة من الاشخاص الموجودون في العالم,17
195341,تلك المنظمات أصبحت عملائنا وحين تجمع بين القرض والتأمين أشياء شيقة يمكن حدوثها,13
120754,"تلقّيت مكالمة هاتفيّة من شخص يدعى مارك أبراهامز، وقال لي:""لقد ربحت جائزة عن مقال البطّ الذي كتبته: جائزة نوبل للحماقة.""",20
217751,"نحن نقضي حياتنا خائفين من الموت، القتل، الإنتحار، كما تسمونها. إنها في الصحفة الرئيسية لأي صحيفة، سي أن أن.",19
108874,"على سبيل المثال, الأزرق الغامق يظهر لكم مكان انتقال الفقمة الفيل في شمال المحيط الهادي.",15
16413,لا شيئ يجعل الكلمة حقيقية أكثر من غيرها أي شيء أخر .,12
14442,"عائشة: اردت ان اقول اننا يجب ان نحاول معرفة اشخاص اخرين ,الاخر",12
210879,انها كأن -- تعطيك الاحساس ان الأمم المتحدة كلها هنا,10
118872,"هم يقولون "" أود حقا أن أتّبع حياة ذات غاية, لكنّى لا أعرف من أين أبداء,",16
90040,ولهذا فكرنا ماذا يمكن أن يحدث لو أخذنا حيواناتنا معلقة الحركة وعرضناها للبرد.,13
25395,بعض السيئون يجعلونه أكثر تعاسة وأكثر بكونهم أكثر فظاعة للآخرين وأن تُعاقب في المستقبل لذلك بطرق متنوعة.,17
55114,هي بالفعل تملك جلداً عارياً في معظم جسمها وبالتالي تقلل من الاحتكاك مع الماء,14
122261,"كانت الحرب في فيتنام مندلعة، وحركة الحقوق المدنية متأججة، وكان للصور تأثير جبّار عليّ.",14
3603,"هذا هو بالضبط ما كنت أبحث عنه لتسريع موعد النوم أكثر من ذلك. """,14
153888,"السبب لحصول كل هذا ، ويجب علي أن أخذكم خلال عن ماذا نتكلم",13
83722,لذا لم أستطع الانتظار للبدء بالعمل على هذا كي أقوم بتعريف كيفن للروبوت.,13
202929,"و أحدها هو التعقيد الإجتماعي المذهل للحيوانات من حولنا، و اليوم أريد أن أخبركم ببعض القصص عن التعقيد الحيوانات.",19
185367,أنابيب مرنه بأماكن غسل الأقدام. أو رش الماء على أصدقائك أو الاستحمام أما هذا الذي بالأمام يبدو طبيعي جداً,19
75439,"إذاً، حين تعبر الجبهة فوق ماليه أنا أقف في ماليه تحت الجبهة.",12
214448,كما أن فريق كرة السلة حرارة ميامي لديهم الثلاثة الكبار نحن أيضا كذلك في وكالة ناسا,16
108777,لقد شرحت لي والدتي السحر في هذه الآلة ... منذ اليوم الاول ..,13
194746,ثلاث سنوات للحصول على 42 سوبرنوفا من البحث خلال عشرات الآلاف من المجرات,13
184609,"في السنة الثانية لي، بدأت بتدريس شابة كانت في المدرسة الثانوية وكانت تسكن على بعد عشر دقائق من الجامعة.",19
97587,"هذا الطفل كان خاطئا بأربع مستويات تقديرية, ولكن لم يكن هناك مجال للشك, إن هؤلاء الأطفال أذكياء.",17
78162,"لأنني أعتقد أن بإمكاننا جميعاً أن نستفيد من فعل شيء ما بسيط جداً، و هو تعلم رؤية البحر.",18
152359,لكن عندما أرادو البحث عن هذه التجارب في المنشورات المنقحة ما وجدوه كان صورة مختلفة تماما.,16
122486,وبطريقة ما وافقوا على عقابي لوحدي وكان عقابي يتمثل بتطهيري وتنقيتي .,12
117812,ولكن ليس كرجل على ملقي على طاولة بل الرجل الذي يجرى عملية قلب مفتوح .,15
